"series_id","model_id","series_name","generation_id"
"457","350","C-Crosser",NULL
"458","351","C-Elysee",NULL
"461","353","C2",NULL
"464","356","C4 Aircross",NULL
"465","357","C4 Cactus",NULL
"471","361","C6",NULL
"477","365","DS4",NULL
"478","366","DS5",NULL
"479","367","Dyane",NULL
"480","368","Evasion",NULL
"483","370","LNA",NULL
"486","372","Visa",NULL
"494","376","Xsara Picasso",NULL
"498","378","V16t",NULL
"505","382","1410",NULL
"506","383","Dokker",NULL
"508","385","Lodgy",NULL
"511","387","Nova",NULL
"513","389","Solenza",NULL
"515","391","Shuttle",NULL
"534","404","LE Mans",NULL
"535","405","Leganza",NULL
"536","406","Magnus",NULL
"538","408","Musso",NULL
"542","411","Prince",NULL
"545","413","Rezzo",NULL
"546","414","Tacuma",NULL
"547","415","Tico",NULL
"548","416","Tosca",NULL
"558","422","Atrai",NULL
"559","423","Be-go",NULL
"560","424","Boon",NULL
"561","425","Ceria",NULL
"581","431","Delta Wagon",NULL
"582","432","Esse",NULL
"585","434","Gran Move",NULL
"588","436","Materia",NULL
"589","437","MAX",NULL
"594","441","Naked",NULL
"598","443","Pyzar",NULL
"602","446","Sonica",NULL
"603","447","Storia",NULL
"604","448","Taft",NULL
"618","461","XJS",NULL
"619","462","Jeep",NULL
"620","463","280ZX",NULL
"621","464","720",NULL
"647","472","Violet",NULL
"648","473","Bigua",NULL
"651","475","Mangusta",NULL
"652","476","Pantera",NULL
"653","477","Vallelunga",NULL
"657","481","Cowboy",NULL
"658","482","Land Crown",NULL
"659","483","Plutus",NULL
"660","484","Saladin",NULL
"661","485","Shuttle",NULL
"671","494","Dart",NULL
"672","495","Daytona",NULL
"674","497","Dynasty",NULL
"677","500","Journey",NULL
"678","501","Magnum",NULL
"679","502","Monaco",NULL
"681","504","Nitro",NULL
"682","505","Omni",NULL
"686","508","Shadow",NULL
"687","509","Spirit",NULL
"704","521","GD04B",NULL
"705","522","Premier",NULL
"710","524","Talon",NULL
"711","525","Vision",NULL
"717","531","Besturn B70",NULL
"718","532","Bora",NULL
"719","533","City Golf",NULL
"721","535","Jinn",NULL
"724","537","V2",NULL
"725","538","V5",NULL
"737","544","400",NULL
"738","545","412",NULL
"742","548","512 BB",NULL
"743","549","512 M",NULL
"751","554","612",NULL
"752","555","California",NULL
"753","556","Enzo",NULL
"754","557","F12berlinetta",NULL
"758","559","F40",NULL
"763","562","FF",NULL
"764","563","LaFerrari",NULL
"767","565","Testarossa",NULL
"772","567","126",NULL
"782","572","132",NULL
"783","573","238",NULL
"786","575","500L",NULL
"787","576","600",NULL
"788","577","900T",NULL
"789","578","Albea",NULL
"803","591","Linea",NULL
"813","597","Qubo",NULL
"817","600","Sedici",NULL
"818","601","Seicento",NULL
"819","602","Siena",NULL
"823","604","Strada",NULL
"831","609","X 1/9",NULL
"832","610","Karma",NULL
"833","611","Aerostar",NULL
"834","612","Aspire",NULL
"835","613","B-MAX",NULL
"842","618","Contour",NULL
"843","619","Cougar",NULL
"845","621","Econoline",NULL
"846","622","EcoSport",NULL
"847","623","Edge",NULL
"856","628","Excursion",NULL
"862","632","Fairmont",NULL
"867","635","Five Hundred",NULL
"872","638","Freestar",NULL
"873","639","Freestyle",NULL
"875","641","Fusion",NULL
"880","645","GT",NULL
"881","646","Ixion",NULL
"884","649","Laser",NULL
"885","650","LTD Crown Victoria",NULL
"891","656","Puma",NULL
"906","665","Taurus X",NULL
"910","668","Tourneo Connect",NULL
"911","669","Windstar",NULL
"912","670","Midi",NULL
"913","671","Tunland",NULL
"916","673","126p",NULL
"917","674","127p",NULL
"918","675","132p",NULL
"920","677","6500 (Land King)",NULL
"921","678","Beauty Leopard",NULL
"925","681","Emgrand EC8",NULL
"926","682","Emgrand X7",NULL
"928","684","Haoqing",NULL
"940","692","Spectrum",NULL
"941","693","Storm",NULL
"945","695","Acadia",NULL
"974","703","Suburban",NULL
"975","704","Syclone",NULL
"976","705","Terrain",NULL
"977","706","Typhoon",NULL
"978","707","Vandura",NULL
"980","709","Troy",NULL
"981","710","Coolbear",NULL
"994","721","Sailor",NULL
"995","722","Sing RUV",NULL
"996","723","Socool",NULL
"1006","732","7",NULL
"1007","733","M3",NULL
"1008","734","Ambassador",NULL
"1009","735","Contessa",NULL
"1018","741","Combo",NULL
"1021","743","Cruze",NULL
"1022","744","Frontera",NULL
"1023","745","Jackaroo",NULL
"1024","746","Monaro",NULL
"1025","747","Rodeo",NULL
"1031","752","Zafira",NULL
"1034","754","Airwave",NULL
"1035","755","Ascot",NULL
"1036","756","Avancier",NULL
"1046","765","CR-Z",NULL
"1047","766","Crossroad",NULL
"1050","769","Edix",NULL
"1052","771","Elysion",NULL
"1053","772","FCX Clarity",NULL
"1054","773","Fit Aria",NULL
"1056","775","FR-V",NULL
"1057","776","Freed",NULL
"1063","781","Integra SJ",NULL
"1069","786","MDX",NULL
"1070","787","Mobilio",NULL
"1071","788","NSX",NULL
"1074","791","Orthia",NULL
"1079","796","Quint",NULL
"1080","797","Rafaga",NULL
"1081","798","Ridgeline",NULL
"1082","799","S-MX",NULL
"1083","800","S2000",NULL
"1085","802","Shuttle",NULL
"1088","805","That'S",NULL
"1089","806","Today",NULL
"1090","807","Torneo",NULL
"1094","811","Zest",NULL
"1095","812","Antelope",NULL
"1096","813","Landscape",NULL
"1097","814","Plutus",NULL
"1104","817","H3",NULL
"1107","819","Atos",NULL
"1109","821","Centennial",NULL
"1111","823","Dynasty",NULL
"1119","829","Genesis Coupe",NULL
"1131","836","ix20",NULL
"1132","837","ix35",NULL
"1133","838","ix55",NULL
"1136","840","Lavita",NULL
"1137","841","Marcia",NULL
"1138","842","Matrix",NULL
"1139","843","Maxcruz",NULL
"1142","846","Santamo",NULL
"1143","847","Scoupe",NULL
"1148","851","Stellar",NULL
"1149","852","Terracan",NULL
"1151","854","Trajet",NULL
"1153","856","Tuscani",NULL
"1154","857","Veloster",NULL
"1159","861","EX",NULL
"1165","865","J",NULL
"1166","866","JX",NULL
"1169","869","Q50",NULL
"1172","872","QX50",NULL
"1173","873","QX60",NULL
"1174","874","QX70",NULL
"1180","878","Mini",NULL
"1181","879","S1",NULL
"1183","881","Samand",NULL
"1184","882","Soren",NULL
"1185","883","Commendatore 112i",NULL
"1186","884","Imperator 108i",NULL
"1187","885","Spyder",NULL
"1203","896","MU-7",NULL
"1207","899","Stylus",NULL
"1213","902","VehiCross",NULL
"1215","904","Massif",NULL
"1216","905","J2 (Yueyue)",NULL
"1219","907","J5 (Heyue)",NULL
"1220","908","J6 (Heyue RS)",NULL
"1221","909","J7 (Binyue)",NULL
"1222","910","Refine",NULL
"1224","912","S5 (Eagle)",NULL
"1230","916","S-Type",NULL
"1236","920","XJ220",NULL
"1242","924","CJ",NULL
"1243","925","Commander",NULL
"1246","928","Grand Wagoneer",NULL
"1248","930","Liberty (Patriot)",NULL
"1251","932","S-V8",NULL
"1252","933","Baodian",NULL
"1256","935","Cadenza",NULL
"1257","936","Capital",NULL
"1268","942","Concord",NULL
"1269","943","Elan",NULL
"1270","944","Enterprise",NULL
"1271","945","Joice",NULL
"1273","947","Mohave (Borrego)",NULL
"1274","948","Opirus",NULL
"1278","951","Potentia",NULL
"1281","953","Quoris",NULL
"1282","954","Ray",NULL
"1283","955","Retona",NULL
"1295","962","Spectra",NULL
"1297","964","Venga",NULL
"1298","965","Visto",NULL
"1313","971","One:1",NULL
"1314","972","X-Bow",NULL
"1317","974","Countach",NULL
"1320","976","Espada",NULL
"1323","978","Huracan",NULL
"1324","979","Jalpa",NULL
"1325","980","Jarama",NULL
"1326","981","LM001",NULL
"1327","982","LM002",NULL
"1330","984","Reventon",NULL
"1355","1001","Thesis",NULL
"1356","1002","Trevi",NULL
"1357","1003","Y10",NULL
"1359","1005","Zeta",NULL
"1369","1012","Series I",NULL
"1370","1013","Series II",NULL
"1371","1014","Series III",NULL
"1372","1015","Fashion (CV9)",NULL
"1373","1016","Forward",NULL
"1374","1017","X5",NULL
"1382","1025","LFA",NULL
"1385","1028","RC",NULL
"1388","1031","Leopard",NULL
"1391","1033","Cebrium (720)",NULL
"1393","1035","Solano (620)",NULL
"1394","1036","X60",NULL
"1396","1037","Aviator",NULL
"1399","1040","Mark LT",NULL
"1400","1041","Mark VII",NULL
"1401","1042","Mark VIII",NULL
"1402","1043","MKC",NULL
"1419","1051","Eclat",NULL
"1420","1052","Elan",NULL
"1422","1054","Elite",NULL
"1424","1056","Europa",NULL
"1425","1057","Europa S",NULL
"1426","1058","Evora",NULL
"1427","1059","Excel",NULL
"1439","1071","Commander",NULL
"1440","1072","Marshal",NULL
"1444","1074","NC 640 DP",NULL
"1454","1082","Mantis",NULL
"1455","1083","Marcasite",NULL
"1456","1084","5EXi",NULL
"1457","1085","Sportster",NULL
"1458","1086","B1",NULL
"1459","1087","B2",NULL
"1460","1088","1000",NULL
"1465","1092","Esteem",NULL
"1468","1094","Omni",NULL
"1469","1095","Versa",NULL
"1477","1102","Barchetta Stradale",NULL
"1481","1104","Bora",NULL
"1482","1105","Chubasco",NULL
"1486","1108","Indy",NULL
"1487","1109","Karif",NULL
"1488","1110","Khamsin",NULL
"1489","1111","Kyalami",NULL
"1490","1112","MC12",NULL
"1491","1113","Merak",NULL
"1492","1114","Mexico",NULL
"1524","1134","AZ-1",NULL
"1525","1135","AZ-Offroad",NULL
"1526","1136","AZ-Wagon",NULL
"1530","1138","Biante",NULL
"1531","1139","Bongo Friendee",NULL
"1533","1141","BT-50",NULL
"1537","1144","Cronos",NULL
"1538","1145","CX-5",NULL
"1539","1146","CX-7",NULL
"1542","1149","Efini MS-6",NULL
"1544","1151","Efini MS-9",NULL
"1545","1152","Eunos 300",NULL
"1546","1153","Eunos 500",NULL
"1547","1154","Eunos 800",NULL
"1548","1155","Eunos Cosmo",NULL
"1556","1162","MX-3",NULL
"1558","1164","MX-6",NULL
"1559","1165","Navajo",NULL
"1560","1166","Persona",NULL
"1564","1169","Proceed Marvie",NULL
"1567","1171","Revue",NULL
"1570","1174","RX-8",NULL
"1571","1175","Scrum",NULL
"1573","1177","Spiano",NULL
"1575","1179","Verisa",NULL
"1579","1182","P1",NULL
"1580","1183","Club",NULL
"1581","1184","Monte Carlo",NULL
"1582","1185","Track",NULL
"1583","1186","190 (W201)",NULL
"1616","1209","Vaneo",NULL
"1620","1212","W115",NULL
"1628","1215","Capri",NULL
"1636","1221","Milan",NULL
"1637","1222","Montego",NULL
"1638","1223","Monterey",NULL
"1640","1225","Mystique",NULL
"1647","1230","Metrocab I",NULL
"1648","1231","Metrocab II (TTT)",NULL
"1649","1232","3",NULL
"1650","1233","350",NULL
"1651","1234","5",NULL
"1652","1235","550",NULL
"1655","1237","F",NULL
"1656","1238","Maestro",NULL
"1660","1241","Midget",NULL
"1661","1242","Montego",NULL
"1662","1243","RV8",NULL
"1675","1251","M8",NULL
"1676","1252","MC",NULL
"1677","1253","Virgo",NULL
"1678","1254","TF 1800",NULL
"1712","1272","Cordia",NULL
"1713","1273","Debonair",NULL
"1716","1276","Dingo",NULL
"1722","1281","Endeavor",NULL
"1724","1283","FTO",NULL
"1726","1285","Grandis",NULL
"1727","1286","GTO",NULL
"1728","1287","i",NULL
"1729","1288","i-MiEV",NULL
"1730","1289","Jeep",NULL
"1734","1291","Lancer Cargo",NULL
"1738","1294","Legnum",NULL
"1739","1295","Libero",NULL
"1752","1303","Pajero Junior",NULL
"1757","1307","Pistachio",NULL
"1758","1308","Proudia",NULL
"1759","1309","Raider",NULL
"1764","1313","Space Gear",NULL
"1766","1315","Space Star",NULL
"1768","1317","Starion",NULL
"1770","1319","Town Box",NULL
"1771","1320","Tredia",NULL
"1772","1321","Galue 204",NULL
"1787","1333","Yuga",NULL
"1788","1334","Zero 1",NULL
"1789","1335","3 Wheeler",NULL
"1790","1336","4 Seater",NULL
"1795","1341","AeroMax",NULL
"1796","1342","Plus 4",NULL
"1798","1344","Roadster",NULL
"1802","1346","100NX",NULL
"1803","1347","180SX",NULL
"1805","1349","240SX",NULL
"1813","1355","Almera Classic",NULL
"1815","1357","Almera Tino",NULL
"1817","1359","Armada",NULL
"1819","1361","Bassara",NULL
"1820","1362","BE-1",NULL
"1827","1369","Clipper",NULL
"1828","1370","Crew",NULL
"1830","1372","Datsun",NULL
"1831","1373","Dualis",NULL
"1833","1375","Expert",NULL
"1836","1377","Figaro",NULL
"1839","1380","GT-R",NULL
"1841","1382","Lafesta",NULL
"1843","1384","Largo",NULL
"1845","1386","Leaf",NULL
"1847","1388","Liberty",NULL
"1848","1389","Lucino",NULL
"1867","1402","Pao",NULL
"1870","1405","Pino",NULL
"1871","1406","M12 GTO",NULL
"1872","1407","M600",NULL
"1879","1412","Cutlass",NULL
"1889","1417","Intrigue",NULL
"1891","1419","Omega",NULL
"1893","1421","Adam",NULL
"1896","1424","Ampera",NULL
"1905","1428","Calibra",NULL
"1909","1430","Cascada",NULL
"1918","1436","GT",NULL
"1931","1441","Mokka",NULL
"1934","1443","Monza",NULL
"1940","1447","Signum",NULL
"1941","1448","Sintra",NULL
